,text,color,size,position,time,sn,userid
392,一分鐘這麼短,#FFFFFF,1,0,675,41529899,emma061105
393,體感10秒鐘,#FFFFFF,1,0,677,44115716,geoguessr
394,日本,#00C3FC,1,0,678,44808709,amywei03
395,原來一開始沒有小八唱歌,#FFFFFF,1,0,680,37090326,aasw91330
396,蛤,#FFFFFF,1,0,680,37512346,sXD324
397,XDD,#FFFFFF,1,0,681,38837447,etal
398,沒了？？？🖕🖕🖕🖕🖕,#FF9625,1,0,683,43195457,Lisa2012821
399,本來就一分鐘是在體感三小,#FFFFFF,1,0,685,37255433,loveyou78912
400,什麼？沒了？,#FFFFFF,1,0,685,38837432,etal
401,蛤,#FFFFFF,1,0,685,41884099,FATEMO
402,哈哈哈,#FFFFFF,1,0,687,41660743,a1710199021
403,蛤？,#FFFFFF,1,0,689,42220557,qOuOl
404, 蛤?,#FFFFFF,1,0,690,37656514,jp956956
405,這到底是什麼鬼,#B538FA,1,0,690,41473515,czkcqkqzty
406,那個什麼什麼愛哭鼠咩www,#FFFFFF,1,0,690,41933384,zaken000
407,？？？？？？？？？？？？？？？？？？？？,#FF0026,2,2,690,44897561,tommy1020712
408,好可愛啊啊啊啊啊啊啊,#FFFFFF,1,0,690,46092643,ella0205
409,?????,#FFFFFF,1,0,691,41644995,sodragon
410,沒了？？？？？？？？？？？？？？？？？？,#FFFFFF,1,0,693,41165047,tsubakilee
411,沒歌詞,#FFFFFF,1,0,695,42597761,loenyen73
412,沒了？？？,#FFFFFF,1,0,696,40784995,yu2501171025
413,沒了????,#FFFFFF,1,0,696,41597809,nico7214034
414,嗚哇嗚哇 沒了～,#FFFFFF,1,0,700,41606752,a54494028
415,廣告30秒進來一分鐘,#FFFFFF,1,0,700,42845328,Zoe1010521
416,我在看什麼？？？,#FFFFFF,1,0,701,45023046,RTty971105
417,體感一分鐘,#FFFFFF,1,0,703,41322900,z9ha45pt26xo
418,好可愛,#FFFFFF,1,0,703,42107580,yyz0329
419,超廢,#FFFFFF,1,0,704,45388579,Danielyang00
420,1分鐘XD,#BEBEBE,1,0,705,37310746,p1997201244
421,泡麵都還沒好,#FFFFFF,1,0,705,40822214,roubai1203
422,卡拉ok版（X,#FFFFFF,1,0,705,44295966,Sadone2005
423,？？？？？？？,#FFFFFF,1,0,710,43494643,kobeleobryan
424,真的體感一分鐘,#FFFFFF,1,0,712,37152327,tokl2508
425,體感一分鐘,#FFFFFF,1,0,713,41061847,A19971212
426,可以,#FFFFFF,1,0,714,42679294,cyc0321
427,？？？？？？,#FFFFFF,1,0,715,44405211,mika1011002
428,小八在結尾 可愛,#FFFFFF,1,0,717,37340486,ann84
429,西西不西西,#FFFFFF,1,0,717,44529568,st5109185
430,============,#FFFFFF,1,0,717,45236824,shinnae26
431,真的體感3秒,#FFFFFF,1,0,719,37884256,c107049
432,雖然知道很短但真的嚇到我了🤣,#FFFFFF,1,0,720,37941426,yenlin1004
433,沒了？,#FFFFFF,1,0,722,37101694,cheninda1234
434,??,#FFFFFF,1,0,722,44615965,LordXavier
435,哭啊 一分鐘的影片 要看三十秒的廣告,#FFFFFF,1,0,724,37533365,mo000136
436,為了這一分鐘看30秒廣告 廣告商賺爛,#FF0026,1,1,725,40950510,a52219951
437,6,#FFFFFF,1,0,725,44402511,house816
438,？？？？？,#FF0026,1,1,726,45101653,kateihan0307
439,好快,#FFFFFF,1,0,727,41701454,gl0507
440,??????????,#FFFFFF,1,0,729,40204499,tsm55555
441,很可愛不要吵,#FFFFFF,1,0,729,42808044,JinAurora
442,幹怎麼沒了？？？？？？？？？？？？？？,#FF0026,2,2,730,46120254,ly127
443,蛤,#FFFFFF,1,0,733,40277838,s06578
444,可愛,#FFFFFF,1,0,736,45546546,kikiandgd
445,幹太快,#FFFFFF,1,0,739,43662275,s3dh2
446,????????????????????????????,#FFFFFF,1,0,740,39857903,dc92044sony
447,好可愛,#FFFFFF,1,0,740,41984454,BHSN00000q3t
448,沒看過這麼快的,#FFFFFF,1,0,741,43778552,hp76249
449,骨感一分鐘,#FFFFFF,1,0,742,42038413,realandtrue
450,影片不到90秒 廣告30秒,#FFFFFF,1,0,743,44744721,a4391030
451,體感一分鐘...,#FFFFFF,1,0,746,37392590,x0902
452,好可愛啊啊啊,#FFFFFF,1,0,746,43182185,yinqiancai02
453,蛤 沒了,#FFFFFF,1,0,748,41446373,nehsh101
454,蛤,#FF9496,1,0,749,41591266,becky1020109
455,啊？,#FFFFFF,1,0,750,45416519,xiupingdang
456,等一下 我不是剛看！？,#FDE53D,1,0,752,39616476,carnew681012
457,真•體感一分鐘,#FF0026,2,0,752,42456708,Rei9488
458,體感一分鐘,#FFFFFF,1,0,752,43474035,A15874875
459,好想吃,#FFFFFF,1,0,753,42317243,lois19920926
460,蛤...？,#FFFFFF,1,0,754,42896611,junhui9520
461,廣告30秒正片一分鐘 但是太可愛我願意😍,#FFFFFF,1,0,755,37146166,account77615
462,一集一分三十秒 片尾曲占20秒,#FFFFFF,1,0,755,45396785,yuzhuang912
463,真的是一分鐘,#FFFFFF,1,0,758,38798423,shadow121010
464,等了30秒 看了一分鐘,#FFFFFF,1,0,758,40551109,kevin1998oo
465,這啥玩意兒XDDDD,#FFFFFF,1,0,761,38713656,RoaBoa850216
466,???????,#FFFFFF,1,0,761,42179798,cdfh1284841
467,好好吃的感覺,#FFFFFF,1,0,761,44155008,timlin0808
468,體感一分鐘,#FFFFFF,1,0,763,41692736,yymkc
469,體感一分鐘,#FFFFFF,1,0,764,41413599,a70888765
470,卡伊卡哇,#FFFFFF,1,0,765,40904144,Bokey1423
471,????????????????????????????????,#FFFFFF,1,0,765,45447519,seisaisha
472,???????????????????????????,#FFFFFF,1,0,768,42455535,hau740212
473,又要廣告了,#FDE53D,1,2,769,43908625,Anima0415
474,30秒廣告看1分鐘,#FFFFFF,1,0,778,37350376,pig61012
475,三小怎麼沒了,#FFFFFF,1,0,780,43645639,kk0913538560
476,笑死,#FFFFFF,1,0,780,44680659,yuyi7613
477,我爱小八,#FFFFFF,1,0,786,37176837,Kthunderbolt
478,我還在思考正片在哪就沒了,#FFFFFF,1,0,788,42732366,A1010010
479,XDDDDDDD,#FFFFFF,1,0,789,40543495,ncbob
480,好萌呀～,#FF9496,1,0,790,43183033,win7288
481,魔性,#FFFFFF,1,0,792,41516350,love20201128
482,到底是在紅怎樣的啊,#FFFFFF,1,0,795,42555325,Lucy08070807
483,兄弟～,#FFFFFF,1,0,798,39663830,wuted
484,笑屎🤣🤣🤣,#FFFFFF,1,0,800,43256091,ox22081
485,嗨 晚安,#FFFFFF,1,0,801,44440682,jimmy0416
486,有喜歡吉伊卡哇的要加ig嗎IG:h._.y._.r._.0201,#FFFFFF,1,0,803,45006158,yurouhong36
487,啊？,#BEBEBE,0,0,806,43333490,yiling0807
488,no~,#FDE53D,1,1,806,45101660,kateihan0307
489,要撐到13-14集才開始有劇情喔~~~~,#FF0026,1,0,810,44049557,leteargerbob
490,1,#FFFFFF,1,0,815,45779315,Webb2012
491,體感10秒,#FFFFFF,1,0,816,39006895,homo760123
492,體感三十秒,#FFFFFF,1,0,817,41939969,g1080109
493,蛤,#FF0026,1,0,820,40789340,jasonlin0331
494,蛤,#00C3FC,2,0,820,44340361,yuye00571
495,這..🔚了，看了😔💬,#FFFFFF,1,0,825,44207085,Aa5709453
496,母災,#FFFFFF,1,0,826,42025785,snowball1292
497,貓,#FFFFFF,1,0,827,43754918,s1080025
498,我的泡麵還沒好,#FFFFFF,1,0,828,41982739,bear508
499,才1分鐘 我要看30秒的廣告？,#FFFFFF,1,0,832,39229289,joanne789
500,好可愛呀\(//∇//)\,#FDE53D,1,0,835,40557924,WWWW1108
501,體感一分鐘,#FFFFFF,1,0,836,42573056,xinghe820
502,我也是為了吉伊買會員😂😂,#FFFFFF,1,0,840,42597770,loenyen73
503,所以為啥彈幕要一直兄弟的( ･᷄ὢ･᷅ )？,#FFFFFF,1,2,846,43683954,annana566
504,體感20秒,#FFFFFF,1,0,850,41270194,YEYU8964
505,???????????????????,#FFFFFF,1,0,853,45808459,jobe13321712
506,我買免廣告了,#FFFFFF,1,0,857,41325318,J310923
507,啊啊啊啊,#FF9625,2,2,863,42532179,rosa0812
508,沒有了哈哈哈ㄏ阿,#FFFFFF,1,0,863,44179863,g840483938
509,兄弟,#FDE53D,1,0,865,39118447,a38395654a
510,為什麼要一直兄弟的( ･᷄ὢ･᷅ ),#FFFFFF,1,0,865,42802663,Melody122
511,诶,#FF0026,1,0,866,44529573,st5109185
512,OK.......,#FFFFFF,1,0,871,38042307,AS52302100
513,掰掰 晚安,#FFFFFF,1,0,871,44440684,jimmy0416
514,為了吉伊卡哇第一次買了會員👍,#FFFFFF,1,0,874,40442519,acgn75410302
515,小八💗,#FFFFFF,1,0,874,43182188,yinqiancai02
516,泡泡驗超市和看,#FFFFFF,1,0,876,44179856,g840483938
517,ZMB,#FFFFFF,1,0,877,42527612,ZED8090
518,體感一秒鐘提敢一秒鐘,#FFFFFF,1,0,889,45729097,Mia130
519,兄弟有事請轉身,#FFFFFF,1,0,890,44754781,D0690422
520,我,#FFFFFF,1,0,897,45779317,Webb2012
521,😀,#00C3FC,1,0,898,40894473,kekerry75
522,沒了？？？？,#FFFFFF,1,0,901,42188563,linzzi
523,哈,#FF0026,1,0,901,44529579,st5109185
